12176	1458	12
7301	7404	13
993	6840	2
17307	3379	0
6196	7374	24
42114	2245	10
4255	6986	4
41591	3694	11
1963	4139	2
3429	6261	8
1609	3344	9
24952	3710	3
135	5213	2
21696	5746	4
104	7254	4
185	2893	1
422	8609	5
14	1220	12
108	1909	0
1591	3860	2
7938	4141	2
7121	140	10
1696	9388	9
109	1205	12
11443	3539	10
12	9794	3
39116	7309	16
41327	9520	14
32583	9791	4
14	6340	9
26624	1411	3
185	7074	3
859	7498	8
343	196	16
12	3913	3
233	3713	5
543	7046	25
25717	8814	27
213	2884	10
101	9318	7
31600	5676	20
14	8615	9
442	656	1
357	9658	18
912	624	8
139	4662	1
14	616	16
188	628	2
14	1091	14
341	714	8
14	909	12
444	5105	10
2262	8930	3
355	9394	13
43488	689	12
42518	3615	4
41260	8681	7
12	9925	1
107	4223	8
27994	2562	12
12	5831	6
2160	1659	5
175	7359	12
3394	234	1
41474	9929	10
1224	8629	7
31008	991	6
282	3709	11
1013	3202	3
14	330	12
151	5301	1
1363	8994	8
9525	1465	2
28069	3623	21
26173	2568	8
13	1413	26
5859	9277	4
3979	4131	0
1367	8044	17
4512	7265	17
546	6084	0
14	9390	11
1968	8021	5
31608	3194	7
746	6766	7
4459	7364	12
38842	5926	6
532	4252	14
7	8908	0
27419	2004	5
10849	7782	18
34678	816	7
26035	9878	0
16	60	3
20699	9493	3
22156	6945	6
1024	9662	5
2454	7354	6
4942	3871	6
7	3015	0
41706	4818	11
14	3976	7
3826	7666	11
1403	7836	8
414	8243	2
12	1382	2
107	6515	1
22821	6464	6
8	278	31
3881	8440	4
23961	5179	7
17	6193	16
862	7830	10
6418	4081	11
42375	5570	11
2496	326	18
109	629	10
11398	5913	5
102	5065	11
8248	6509	9
191	4656	5
7771	1148	0
4646	4733	2
103	2795	4
188	1204	4
223	4429	4
8609	1037	8
1882	3159	4
10380	8349	6
623	8021	10
41949	1406	17
106	5937	7
2446	7782	7
14	3528	5
30463	1645	11
14534	177	0
4347	7044	6
7	3214	0
1903	5361	17
552	6203	29
907	5388	15
29274	3817	1
175	1208	15
167	3053	3
9575	5189	3
44660	5403	22
12242	3525	3
6381	8822	24
1456	5410	9
2148	532	14
29402	2703	8
7	7087	0
221	1991	2
16038	1458	0
5069	87	12
14	7463	7
252	458	2
122	279	2
14	8393	22
14	4398	13
14	9991	20
14	162	5
14	1900	7
42363	856	2
283	186	9
645	8505	6
105	4305	4
2351	9669	3
168	1901	12
14	5444	5
592	1606	5
341	9167	4
9284	9431	1
147	3913	9
2401	5917	3
160	2685	2
1988	7645	2
424	9753	1
212	5505	9
8797	8347	0
21801	4431	4
38516	2985	3
139	2419	5
12	9806	2
12	1573	17
364	9540	5
114	6089	11
14	6019	5
104	2271	15
447	7544	18
111	6560	5
12214	4364	2
19671	7587	2
496	5364	3
25838	854	11
4348	6409	1
114	559	11
1323	6094	9
994	2096	11
35861	3546	26
111	7137	19
14	9253	8
747	866	9
1065	2576	4
17910	7224	4
6383	5920	16
27860	5680	7
16498	8986	1
310	7403	3
1734	6229	17
12	1572	5
168	7942	21
14	7494	8
4381	5535	6
28770	2616	10
1538	289	9
1884	7894	5
101	6092	11
38909	6354	3
7146	378	2
101	4583	21
41803	281	5
8	2994	29
14	1901	19
142	8942	10
146	8781	19
262	1040	13
36339	1954	1
25967	1087	5
102	1962	12
14594	37	0
1424	2033	0
4215	353	10
12	6528	10
10546	1812	19
12999	8033	13
30824	8466	15
14	9288	6
30205	9156	5
5235	1073	0
154	7760	10
14	8226	14
372	4890	7
12	1965	3
2017	8425	10
12	9002	14
6668	2525	7
20838	4009	28
12	2437	4
4168	9460	7
12	676	1
14	4839	9
41541	7226	11
6542	2353	5
12326	172	7
39737	252	9
322	3874	10
44568	8062	4
511	2224	12
153	6450	2
313	4721	12
1485	5642	12
38197	6842	12
39394	1495	22
43097	1609	8
589	5493	5
14	7241	24
1799	2881	7
11994	5495	5
233	8966	0
37922	4287	8
6332	1666	6
649	3072	9
108	2264	0
279	2618	5
38149	5637	15
118	2232	18
19074	9441	1
106	4049	29
19935	7413	9
40258	9699	2
29527	3130	18
377	2464	0
977	6089	22
3311	8595	14
14	7240	12
1074	2414	11
4724	7931	2
115	5668	11
117	5163	7
7715	7699	12
3681	4157	3
14	8042	16
115	3209	6
14	7823	12
557	3131	19
14	4704	11
12	3788	4
27718	6184	15
14	2921	12
1916	8498	18
14	7374	26
1129	8363	16
636	7438	3
4295	475	2
1279	7345	12
125	8995	5
159	1404	0
14	5667	5
1118	6193	3
249	4611	9
247	8442	12
32958	4914	11
1147	530	7
171	5017	7
158	6267	9
4551	6014	17
1652	8941	2
581	8263	0
12	1795	7
1355	1024	14
3332	1471	7
13024	522	10
131	5868	5
12009	9723	9
4911	4259	6
7823	3833	7
43683	7941	5
14	1740	7
280	6776	4
1052	995	6
14	6730	20
1044	2713	0
25507	9458	0
396	7205	8
1094	6137	23
105	4022	1
130	9349	8
10889	3064	17
33632	5079	9
11155	7067	2
468	4201	9
230	1173	2
3378	906	7
143	7085	4
14	1832	15
6917	4107	5
392	1999	20
6887	2705	13
109	2773	2
101	7214	4
4635	8628	6
2103	6950	2
44810	3957	13
413	87	10
101	2219	14
12341	8782	12
14	4588	19
109	5268	17
12	7465	8
102	9539	3
642	4414	0
14	4680	25
2849	4394	5
2750	2470	6
2192	5477	2
10117	4390	2
5203	4991	3
175	4923	10
10558	3737	2
28875	9678	17
3527	6907	9
31496	6534	7
817	7593	26
14	9029	14
3040	7026	8
153	7416	10
3009	1763	4
115	5287	3
1767	5351	5
5118	1491	1
15128	1262	10
12884	3348	21
18802	4623	7
105	3768	5
14	2412	18
6520	1200	9
14	2185	14
105	1597	10
3857	4870	6
408	415	5
16885	3743	2
2204	6129	2
14	7306	18
749	8842	14
17	1144	8
881	6685	1
12	1101	1
12	9667	14
6988	5737	17
29102	471	13
209	4810	7
23333	8974	8
5320	3990	13
33272	3656	20
634	6604	20
20231	9478	1
788	5240	5
2094	7293	11
188	2015	5
17475	8965	2
14	1574	11
14	1284	23
1042	434	10
519	6639	8
35187	3400	3
108	2424	0
41799	6354	1
737	8220	1
5999	343	3
30552	6382	13
327	9486	23
12	9070	6
107	3961	2
203	5746	22
216	1378	2
2829	7563	4
6632	6547	17
824	6066	5
3246	9770	0
1260	3742	3
29452	2841	12
379	302	9
561	1313	6
15349	704	0
1243	7668	16
998	8708	12
3000	1104	4
12	7618	16
405	3421	4
119	4818	8
12529	1739	4
1206	7221	11
1155	4832	22
108	1749	0
2463	9895	8
18948	4071	2
101	9250	15
338	3816	2
40341	5159	7
863	9877	26
169	4640	1
42062	4703	3
2431	8153	14
37054	4199	1
11032	5167	13
111	7080	14
345	6444	0
1778	2186	4
21722	5300	4
10671	1845	1
176	1139	25
257	5469	9
