4488	174	3	38.83
101	112	34	24.18
1867	219	3	33.97
5533	5650	3	70.45
4518	14	4	21.16
1911	167	4	44.76
107	141	7	18.82
750	145	5	46.67
826	105	4	21.07
108	119	11	26.39
3361	14	5	26.45
407	373	3	28.18
112	113	53	292.59
181	14	96	482.21
454	101	7	17.12
105	146	4	6.27
192	106	3	5.45
105	211	5	14.33
1469	222	3	32.63
9	12	127	170.66
635	14	21	89.73
1574	301	3	35.3
2508	14	7	37.03
2841	14	5	21.19
608	127	3	20.03
121	2576	3	27.77
106	188	4	9.18
102	2502	3	14.28
102	832	3	7.73
102	765	3	7.16
102	714	3	6.9
111	759	5	34.11
4321	14	4	21.16
1020	101	3	6.62
12	1295	3	5.95
1834	14	9	47.61
101	735	3	4.88
104	297	3	7.86
12	527	9	23.23
3536	14	5	26.45
853	12	3	3.92
216	123	21	175.42
112	988	3	18.97
285	102	5	7.91
171	621	3	24.89
834	103	3	12.45
2041	101	3	11.01
216	137	3	16.2
1405	14	10	42.39
421	14	32	144.83
3637	14	3	9.43
2678	106	3	22.5
102	613	5	15.23
2168	102	3	13.29
2291	12	4	16.23
309	105	4	12.99
862	406	4	46.74
1591	1442	3	45.34
106	122	10	19.96
4253	14	4	21.16
3288	4405	3	59.22
12	3101	5	31.93
4379	9	3	26.51
281	101	7	10.37
2812	14	6	31.74
12	284	9	12.31
1247	109	4	26.94
101	453	4	5.72
7197	336	3	48.27
142	355	3	19.76
6550	14	3	15.87
2119	103	4	27.33
4562	14	3	11.52
102	409	23	133.18
2369	14	6	26.15
114	711	4	25.76
408	1834	3	38.17
231	107	4	11.95
1428	104	3	17.37
1778	1167	3	44.45
235	103	4	9.2
101	200	17	40.04
6688	14	3	15.87
116	195	3	9.91
1818	12	3	8.2
389	102	4	7.15
400	12	5	5.1
236	465	5	49.18
227	1041	3	30.17
102	541	3	5.4
103	327	3	7.18
1571	121	3	25.12
419	12	5	5.51
104	2161	3	19.63
438	102	5	12.21
102	1198	3	9.56
1240	103	4	22.45
12	814	4	6.87
101	252	8	12.27
131	887	5	45.21
2029	14	8	42.32
161	237	6	45.14
152	262	6	46.03
118	176	6	28.34
1641	102	3	11.74
712	102	6	22.21
699	12	13	52.37
108	569	8	53.15
3380	14	4	16.3
127	1472	3	25.43
3581	9	3	24.29
103	1783	4	26.07
992	12	3	4.8
1913	6324	3	58.99
620	554	6	75.94
104	136	7	15.13
384	190	8	78.01
202	225	3	19.86
2457	14	6	26.15
1051	248	6	71.8
4307	14	4	21.16
137	552	6	53.57
137	500	8	74.91
101	1019	5	16.27
2237	12	3	9.93
3980	109	3	27.69
237	164	6	45.35
1740	8	3	19.22
164	671	6	59.09
102	1097	3	9.14
2257	3170	3	54.16
102	961	4	13.53
3616	14	5	26.45
1592	545	3	39.17
203	105	5	13.75
139	123	3	9.06
62	109	6	20.95
7	3024	4	29.85
540	246	6	63.21
119	178	6	28.65
967	12	3	4.49
565	128	8	71.29
1116	101	3	6.99
171	2176	4	46.56
4263	14	3	11.52
2793	14	6	31.74
291	105	4	12.7
127	116	3	4.81
196	102	6	6.65
102	2485	3	14.28
279	579	3	28.24
3377	102	3	17.03
374	292	4	37.29
236	603	4	39.49
696	103	3	11.28
2822	14	6	31.74
809	4935	4	71.62
6934	14	3	15.87
1483	597	4	54.89
7	1050	12	94.5
102	334	7	17.55
690	249	3	28.54
102	274	23	106.16
12	913	3	4.19
142	194	3	15.45
584	370	4	43.11
102	1605	3	11.74
101	107	87	115.07
112	492	5	30.01
3009	14	3	7.99
134	14	129	528
3281	14	4	16.3
2355	14	6	26.15
267	14	56	279.4
12	762	4	6.52
346	4388	3	43.91
101	356	8	17.53
192	114	6	26.08
16	2	17	57.66
319	119	3	14.36
781	12	9	30.87
607	2642	6	105.03
102	590	4	10.11
771	102	5	17.04
4844	14	4	21.16
164	212	4	25.57
3251	14	4	16.3
2129	14	8	42.32
12	317	6	5.31
616	577	3	33.28
535	2434	5	77.27
159	139	5	28.08
1712	121	3	25.88
392	288	6	61.45
2158	14	7	31.15
618	839	3	35.54
4668	14	3	11.52
194	795	3	27.26
5740	14	3	15.87
104	1498	5	35.19
2004	14	7	31.15
130	146	4	17.63
1377	109	3	18.77
1517	4920	4	77.21
327	134	8	65.75
597	102	8	31.77
3387	1611	3	51.5
3429	14	5	26.45
2344	296	4	53.71
1218	164	13	186.01
101	1437	3	8.88
482	103	6	27.08
115	524	12	102.12
3973	914	4	72.56
4952	14	3	11.52
2732	14	6	31.74
744	14	19	87.62
2281	474	3	40.98
108	2972	3	23.86
4330	14	4	21.16
896	12	3	4.19
375	129	4	26.51
4052	12	3	14.74
236	487	4	37.64
102	440	5	12.21
16	233	3	17.09
105	131	7	13.6
383	14	34	147.02
562	292	3	28.58
1541	162	3	29.72
108	1527	8	72.93
2505	2925	3	52.57
1763	14	7	27.79
105	2974	6	60.66
465	129	6	47.88
1278	102	3	10.03
3073	102	3	15.48
958	12	3	4.49
4392	14	4	21.16
1785	103	3	17.4
101	1162	3	7.39
5018	14	4	21.16
174	137	4	21.39
102	221	9	19.03
457	624	3	32.01
464	9	5	24.25
2768	14	6	31.74
2954	12	3	11.09
115	424	3	14.8
12	2134	8	51.09
1943	121	5	51.65
2161	4499	3	55.37
102	1387	6	30.97
362	17	3	15.97
1629	14	7	25.26
12	1067	3	5.15
2	103	47	69.02
2967	14	5	21.19
2762	101	3	13.16
137	106	4	6.11
276	139	4	26.59
1956	2295	4	70.98
645	102	17	105.58
623	12	7	16.56
109	163	5	13.54
7	593	22	184.03
649	306	11	143.46
4748	14	3	11.52
114	138	28	186.92
140	14	117	505.52
106	304	5	19.15
359	279	3	25.32
912	14	13	48.24
131	139	14	96.05
12	168	10	5.12
4405	110	4	43.43
883	14	15	63.58
12	5037	3	14.74
261	138	3	17.77
119	329	4	21.97
447	12	5	5.96
109	114	7	7.87
282	129	4	23.89
649	184	3	25.63
1556	184	6	72.42
1915	14	8	36.19
2	118	9	8.54
1318	113	3	21.19
651	1002	3	36.93
3054	14	6	31.74
12	6636	3	19.16
12	545	4	4.59
156	341	13	130.58
12	374	12	30.12
101	779	3	5.38
1417	102	4	16.61
101	697	4	8.26
460	267	17	224.37
2	2776	4	29.87
101	899	3	5.96
12	3086	4	20.62
1783	101	4	16.33
9	152	5	11.27
3383	14	5	26.45
110	314	3	10.28
1631	12	3	7.53
144	119	3	8.64
110	146	3	5.1
119	3714	3	30.13
820	161	5	49.12
210	255	21	241.43
397	298	3	26.55
3813	14	3	9.43
189	294	3	21.08
102	1265	4	15.88
101	389	10	28.31
105	232	4	10.93
1325	101	6	26.32
2204	105	6	51.69
604	129	5	40.58
3140	12	3	12.59
171	178	3	16.34
483	2	6	25.81
322	4974	4	63.93
6088	14	3	15.87
423	115	3	14.8
458	1337	3	36.85
2615	1744	4	71.63
7	1672	8	64.95
362	14	25	76.48
3675	14	5	26.45
1811	14	9	47.61
393	14	16	35.24
7	1083	9	64.22
301	1474	4	49.01
4097	12	3	14.74
1339	12	3	6.41
253	255	14	153.72
3249	12	3	12.59
236	282	3	22.81
1059	330	3	33.13
451	129	4	28.12
7315	14	3	15.87
1366	103	3	15.41
1412	14	8	27.63
428	14	28	114.18
7212	113	3	34.63
1782	14	7	27.79
1246	12	5	15.28
1052	161	4	39.39
101	543	4	6.84
4260	14	4	21.16
2420	189	5	65.2
1530	14	10	46.35
441	2998	3	41.84
2786	14	4	13.82
1680	14	10	52.9
7	2450	6	50.46
1501	14	8	29.87
285	5705	3	47.17
504	536	3	31.67
2225	121	5	53.85
5627	12	3	19.16
102	470	5	12.79
102	514	13	62.27
1414	123	5	46.32
866	2	5	25.2
139	157	7	44.03
103	3292	3	22.06
999	14	12	46.08
1810	101	5	23.37
812	2141	4	60.53
106	1145	3	16.37
101	682	3	4.66
104	234	3	6.57
440	288	3	27.01
1324	14	9	34.56
1342	103	6	41
457	145	8	75.18
111	653	3	16.28
3061	174	3	35.01
102	2441	4	22.13
269	107	4	13.04
1	2	4	21.59
114	173	21	140.93
959	14	16	77.2
4929	14	3	11.52
123	3794	3	30.81
341	14	34	128.91
279	398	4	37.27
106	405	3	10.36
102	697	4	11.06
640	121	8	69.15
4285	105	3	25.83
105	1092	4	23.17
111	1919	4	33.31
156	246	15	144.46
137	327	5	37.04
103	1063	13	113
327	264	3	24.46
327	191	9	86.99
1920	14	7	27.79
346	288	14	168.05
238	113	3	10.7
310	14	44	193.15
4500	14	4	21.16
2924	14	6	31.74
3517	104	3	23.45
12	213	19	40.17
2454	230	6	86.44
547	102	3	5.59
203	167	65	887.42
3355	14	5	26.45
139	113	18	101.69
102	524	3	5.4
624	14	23	108.06
7067	14	3	15.87
555	2127	3	40.8
571	113	3	15.94
116	551	4	24.86
192	219	3	19.14
102	1147	13	95.5
629	189	4	36.86
101	557	4	6.84
111	1545	3	21.39
379	247	3	25.05
2746	14	6	31.74
758	14	20	97.93
1125	121	3	22.81
102	3696	4	26.61
2	2038	4	26.45
1477	14	9	37.48
1020	793	5	69.95
2717	14	6	31.74
6091	14	3	15.87
1108	101	3	6.99
7	2164	8	74.93
1141	1740	3	44.45
102	172	6	5.31
429	3498	3	43.25
690	166	5	47.39
12	1777	3	8.2
194	1551	3	31.26
5990	14	3	15.87
784	281	3	30.16
2138	126	3	27.65
239	111	4	15.99
1186	510	3	36.4
105	116	7	6.28
2282	2653	5	98.53
867	258	3	30.42
4012	164	4	56.91
1675	14	10	52.9
138	539	5	42.41
2363	14	7	37.03
126	14	201	863.15
12	1570	4	12.58
6961	14	3	15.87
1189	103	5	29.84
120	409	3	16.58
108	658	3	14.26
106	107	14	12.7
3283	127	4	46.08
315	962	4	45.22
4979	105	3	25.83
6033	105	3	30.32
2452	102	3	14.28
116	4414	3	31.28
512	102	3	5.23
2332	14	7	37.03
759	101	4	8.94
1017	133	5	47.41
101	1081	3	6.99
3952	4074	3	61.45
1360	14	11	51.46
105	941	4	22.05
116	2547	3	26.23
107	694	15	126.41
2583	12	5	23.72
102	2574	4	22.13
360	296	8	85.9
226	1179	3	31.06
623	101	6	16.16
7	594	20	159.52
345	416	4	39.54
1569	121	3	25.12
1312	605	3	38.61
12	1389	4	10.94
109	364	3	10.93
1928	14	9	47.61
126	17	4	10.35
288	14	26	66.92
2682	12	3	11.09
107	1838	4	29.24
130	176	3	13.05
592	102	5	14.83
2602	121	5	56.82
1624	995	3	42.79
12	1312	5	16.21
1048	14	14	62.31
5768	14	3	15.87
6878	14	3	15.87
102	675	4	11.06
640	210	3	26.88
5735	14	3	15.87
422	450	4	41.9
12	375	6	7.35
101	646	4	7.94
101	698	3	4.66
202	301	3	21.76
2	293	5	14.61
182	107	8	28.89
103	893	5	26.89
101	188	10	12.54
12	985	4	8.55
6207	14	3	15.87
784	234	3	29.15
3331	197	3	37.49
7	902	16	137.43
12	1746	3	8.2
504	129	4	28.93
4669	123	3	33.04
403	129	4	27.16
3544	14	4	16.3
129	193	90	1215.02
165	891	4	38.07
7216	14	3	15.87
1012	101	3	6.62
347	14	41	190.62
4385	113	3	30.13
7	3383	3	21.39
2727	14	4	13.82
946	3367	3	47.88
152	450	4	31.85
528	134	10	98.5
102	1114	3	9.14
256	102	6	10.29
895	12	7	21.57
1242	102	3	10.03
760	1833	5	76.89
326	102	4	5.89
108	3687	3	25.44
2040	109	3	21.64
3752	14	5	26.45
542	9	3	12.22
114	4191	4	46.52
2105	111	3	23.67
1362	14	12	63.49
102	513	3	5.23
1333	282	3	33.68
102	4871	4	31.58
138	457	3	21.33
104	3361	3	23.45
299	942	5	58.8
115	470	3	15.52
395	2119	3	38.72
12	1719	3	8.2
451	277	3	26.97
116	120	8	24.22
3523	14	5	26.45
976	101	3	6.62
123	107	5	5.14
251	590	3	27.85
3441	12	3	12.59
104	235	22	138.13
746	101	3	5.13
1391	205	3	31.23
3724	101	3	14.69
114	169	33	252.17
4712	14	3	11.52
4359	101	3	16.86
102	826	3	7.73
7	556	21	165.53
355	109	9	52.35
109	194	4	10.99
110	2	15	10.78
244	3904	3	41.74
1014	341	5	60.82
866	103	4	19.04
3050	113	6	69.29
106	200	3	5.86
101	1055	3	6.99
742	102	3	7.16
384	358	3	27.4
304	107	3	8.88
131	1940	6	68.32
274	113	16	117.73
2795	101	3	13.16
102	508	3	5.23
660	203	3	26.58
4909	14	4	21.16
2456	2916	3	52.57
7023	1403	3	56.96
112	185	14	81.3
215	139	3	16.41
103	280	22	136.79
833	102	6	24.18
12	2378	3	9.93
7	1687	9	77.81
1491	3851	3	50.83
3375	14	4	16.3
12	1656	3	7.53
2022	14	8	42.32
214	103	15	69.46
4371	101	3	16.86
3344	14	3	9.43
6538	14	3	15.87
8	124	6	7.48
111	758	3	17.12
